Name,Date
"New Year's Day","Monday, January 1, 2024"
"Dr. Martin Luther King Jr.'s Birthday","Monday, January 15, 2024"
"Lincoln's Birthday","Monday, February 12, 2024"
"Washington's Birthday","Monday, February 19, 2024"
"Pulaski Day","Monday, March 4, 2024"
"Memorial Day","Monday, May 27, 2024"
"Juneteenth Day","Wednesday, June 19, 2024"
"Independence Day","Thursday, July 4, 2024"
"Labor Day","Monday, September 2, 2024"
"Columbus Day","Monday, October 14, 2024"
"Veterans Day","Monday, November 11, 2024"
"Thanksgiving Day","Thursday, November 28, 2024"
"Christmas Day","Wednesday, December 25, 2024"
